,<CONFIDENTIAL>,,,,,,,,,,,,
Normalized Fluorescence signal from 1000-1200 nm,,,,,,Maximum emission cross section,,,,,,,
,LG-770,LG-760,LG-750,APG-1,,LG-770,LG-760,LG-750,APG-1,,,,Prepared by Dr. Tedi-Marie Usher-Ditzian
Wavelength,Normalized,Normalized,Normalized,Normalized,,_em ,_em ,_em ,_em ,,,,SCHOTT R&D North America
l [nm],"Signal, FC(l)","Signal, FC(l)","Signal, FC(l)","Signal, FC(l)",,[10-20 cm2],[10-20 cm2],[10-20 cm2],[10-20 cm2],,,,"Oct 4th, 2021"
1033.75,0.058729665,0.04594258,0.057023603,0.071490153,,,,,,,,,
1033.875,0.059351875,0.049250451,0.058342418,0.074458989,,,,,,,,,
1034,0.061843168,0.05090329,0.060981274,0.075941426,,,,,,,,,
1034.125,0.061219321,0.051452774,0.065600194,0.07222998,,,,,,,,,
1034.25,0.062464561,0.053657292,0.066919012,0.075196383,,,,,,,,,
1034.375,0.061217686,0.052551745,0.068897848,0.078165219,,,,,,,,,
1034.5,0.064955036,0.056411293,0.070216659,0.080389639,,,,,,,,,
1034.625,0.066200274,0.058064133,0.068895393,0.083358474,,,,,,,,,
1034.75,0.066822484,0.061372004,0.074834357,0.084098928,,,,,,,,,
1034.875,0.072428914,0.063024843,0.078133233,0.08632578,,,,,,,,,
1035,0.077412314,0.064126005,0.078792036,0.0885502,,,,,,,,,
1035.125,0.076788472,0.067985554,0.082750926,0.093747418,,,,,,,,,
1035.25,0.078656731,0.070190075,0.084069738,0.094487872,,,,,,,,,
1035.375,0.07927895,0.068532847,0.085388559,0.09225796,,,,,,,,,
1035.5,0.082393272,0.069082331,0.088687431,0.097452745,,,,,,,,,
1035.625,0.083638507,0.070183499,0.089346234,0.098195631,,,,,,,,,
1035.75,0.086129793,0.074594713,0.088684976,0.098194102,,,,,,,,,
1035.875,0.089244115,0.077350908,0.08802374,0.103388887,,,,,,,,,
1036,0.093604489,0.080107104,0.09198263,0.104871323,,,,,,,,,
1036.125,0.094849724,0.079553237,0.093961472,0.104869794,,,,,,,,,
1036.25,0.09734103,0.081757756,0.096600322,0.107096646,,,,,,,,,
1036.375,0.096717177,0.084513952,0.101879273,0.109321066,,,,,,,,,
1036.5,0.099208471,0.082305046,0.101878046,0.110805936,,,,,,,,,
1036.625,0.10169977,0.088922981,0.105836944,0.110804406,,,,,,,,,
1036.75,0.104814084,0.093885883,0.107815777,0.115999191,,,,,,,,,
1036.875,0.112289596,0.09884879,0.113754737,0.120451993,,,,,,,,,
1037,0.11353484,0.100501625,0.120353726,0.122676413,,,,,,,,,
1037.125,0.113534023,0.101602794,0.11969248,0.127131648,,,,,,,,,
1037.25,0.119140449,0.101600601,0.117711193,0.127872101,,,,,,,,,
1037.375,0.119139632,0.106011815,0.124310173,0.128612555,,,,,,,,,
1037.5,0.12287697,0.107112983,0.128929095,0.129353008,,,,,,,,,
1037.625,0.12786038,0.109317504,0.130247915,0.130093462,,,,,,,,,
1037.75,0.130974702,0.110970339,0.130906696,0.136774646,,,,,,,,,
1037.875,0.132219937,0.117588273,0.138165716,0.139743482,,,,,,,,,
1038,0.136580311,0.123102849,0.138824497,0.142709885,,,,,,,,,
1038.125,0.139071605,0.12254899,0.14080334,0.14567872,,,,,,,,,
